"CompanyName","Stena Metal International AB","Stena Metal International"
"CompanyName","DeLaval International AB","DeLaval International"
"CompanyName","Nordea Investment Management AB","Nordea Investment Management"
"CompanyName","OneMed Top Holding AB","OneMed Top Holding"
"CompanyName","EQT AB","EQT"
"CompanyName","Nemus Holding AB","Nemus Holding"
"CompanyName","Polygon Holding AB","Polygon Holding"
"CompanyName","Munters Group AB","Munters Group"
"CompanyName","SIBA Invest Aktiebolag","SIBA Invest"
"CompanyName","Aktiebolag Fagerhult","Fagerhult"
"CompanyName","Nordea Hypotek Aktiebolag","Nordea Hypotek"
"CompanyName","E. Öhman J:or Aktiebolag","E. Öhman J:or"
"CompanyName","Ola Serneke Holding AB","Ola Serneke Holding"
"CompanyName","Wilson Therapeutics AB","Wilson Therapeutics"
"CompanyName","Ellevio AB","Ellevio"
"CompanyName","Ellevio Holding 1 AB","Ellevio Holding 1"
"CompanyName","Momentum Group AB","Momentum Group"
"CompanyName","Coop Väst AB","Coop Väst"
"CompanyName","Byggmax Group AB","Byggmax Group"
"CompanyName","Clas Ohlson Aktiebolag","Clas Ohlson"
"CompanyName","Förvaltningsaktiebolaget Framtiden"
"CompanyName","NetOnNet AB","NetOnNet"
"CompanyName","Cytiva BioProcess R&D AB","Cytiva BioProcess R&D"
"CompanyName","Sveaskog Förvaltnings Aktiebolag","Sveaskog Förvaltnings"
"CompanyName","SAAB Automobile Aktiebolag","SAAB Automobile"
"CompanyName","Biltema Sweden AB","Biltema Sweden"
"CompanyName","Stockholm Exergi AB","Stockholm Exergi"
"CompanyName","SERNEKE Group AB (publ)","SERNEKE Group  (publ)"
"CompanyName","Atea Logistics AB","Atea Logistics"
"CompanyName","Inwido AB (publ)","Inwido  (publ)"
"CompanyName","Volati AB","Volati"
"CompanyName","Scania Sverige Aktiebolag","Scania Sverige"
"CompanyName","Danir Development AB","Danir Development"
"CompanyName","Volvo Information Technology Aktiebolag","Volvo Information Technology"
"CompanyName","Ragn-Sellsföretagen AB","Ragn-Sellsföretagen"
"CompanyName","Ving Sverige Aktiebolag","Ving Sverige"
"CompanyName","Betsson AB","Betsson"
"CompanyName","Seco Tools Aktiebolag","Seco Tools"
"CompanyName","Nobina Sverige AB","Nobina Sverige"
"CompanyName","SBAB Bank AB (publ)","SBAB Bank  (publ)"
"CompanyName","NCC Industry Aktiebolag","NCC Industry"
"CompanyName","Nordea Finans Sverige AB","Nordea Finans Sverige"
"CompanyName","Serneke Sverige AB","Serneke Sverige"
"CompanyName","Brightstar 20:20 (SWE) AB","Brightstar 20:20 (SWE)"
"CompanyName","Metsä Board Sverige AB","Metsä Board Sverige"
"CompanyName","Toyota Sweden AB","Toyota Sweden"
"CompanyName","Stockholm Exergi Holding AB (publ)","Stockholm Exergi Holding  (publ)"
"CompanyName","Akademiska Hus Aktiebolag","Akademiska Hus"
"CompanyName","Aktiebolaget Trav och Galopp","Trav och Galopp"
"CompanyName","Orkla Foods Sverige AB","Orkla Foods Sverige"
"CompanyName","Menigo Foodservice AB","Menigo Foodservice"
"CompanyName","Klockarbäcken Property Investment AB (publ)","Klockarbäcken Property Investment  (publ)"
"CompanyName","IGT Holding I Sweden AB","IGT Holding I Sweden"
"CompanyName","Vida Aktiebolag","Vida"
"CompanyName","Embracer Group AB","Embracer Group"
"CompanyName","Torsten Jansson Holding AB","Torsten Jansson Holding"
"CompanyName","Kia Sweden AB","Kia Sweden"
"CompanyName","Maquet Critical Care AB","Maquet Critical Care"
"CompanyName","SEB Investment Management AB","SEB Investment Management"
"CompanyName","KLS UGGLARPS AB","KLS UGGLARPS"
"CompanyName","AB Persson Invest","Persson Invest"
"CompanyName","Stadium Holding AB","Stadium Holding"
"CompanyName","Stadium Aktiebolag","Stadium"
"CompanyName","New Wave Group AB","New Wave Group"
"CompanyName","Ringhals AB","Ringhals"
"CompanyName","BYGGmax AB","BYGGmax"
"CompanyName","DER Touristik Nordic AB","DER Touristik Nordic"
"CompanyName","Tieto Sweden AB","Tieto Sweden"
"CompanyName","Castellum Aktiebolag","Castellum"
"CompanyName","Castellum Stenen 3 AB","Castellum Stenen 3"
"CompanyName","Södersjukhuset Aktiebolag","Södersjukhuset"
"CompanyName","BSH Home Appliances AB","BSH Home Appliances"
"CompanyName","Jula AB","Jula"
"CompanyName","SJ AB","SJ"
"CompanyName","Hemköpskedjan AB","Hemköpskedjan"
"CompanyName","TUI Sverige AB","TUI Sverige"
"CompanyName","The Absolut Company Aktiebolag","The Absolut Company"
"CompanyName","Battlecamp AB","Battlecamp"
"CompanyName","Stena Oil Aktiebolag","Stena Oil"
"CompanyName","MTR Nordic AB","MTR Nordic"
"CompanyName","Transcom TopCo AB","Transcom TopCo"
"CompanyName","Scandic Hotels Aktiebolag","Scandic Hotels"
"CompanyName","Instalco AB","Instalco"
"CompanyName","Volvo Logistics Aktiebolag","Volvo Logistics"
"CompanyName","Nordic Entertainment Group Sweden AB","Nordic Entertainment Group Sweden"
"CompanyName","Forsmarks Kraftgrupp Aktiebolag","Forsmarks Kraftgrupp"
"CompanyName","Cloetta AB","Cloetta"
"CompanyName","Elof Hansson Holding AB","Elof Hansson Holding"
"CompanyName","Göteborg Energi Aktiebolag","Göteborg Energi"
"CompanyName","Transcom Holding AB","Transcom Holding"
"CompanyName","AB Svenska Spel","Svenska Spel"
"CompanyName","De Lage Landen Finans AB","De Lage Landen Finans"
